id,kecamatan,komoditas,harga_terendah,harga_tertinggi,harga_rata_rata
14,Medan Deli,Telur Ras,"Rp.25,500","Rp.25,500","Rp.25,500"
1,Medan Helvetia,Bawang Merah,"Rp.42,000","Rp.48,000","Rp.45,000"
2,Medan Helvetia,Bawang Putih,"Rp.27,000","Rp.30,000","Rp.28,500"
3,Medan Helvetia,Beras,"Rp.15,000","Rp.16,000","Rp.15,500"
4,Medan Helvetia,Cabai Merah,"Rp.32,000","Rp.40,000","Rp.36,000"
5,Medan Helvetia,Cabai Rawit,"Rp.44,000","Rp.44,000","Rp.44,000"
6,Medan Helvetia,Daging Ayam Ras,"Rp.35,000","Rp.35,000","Rp.35,000"
7,Medan Helvetia,Daging Sapi,"Rp.160,000","Rp.160,000","Rp.160,000"
8,Medan Helvetia,Gula Pasir,"Rp.18,000","Rp.19,000","Rp.18,500"
9,Medan Helvetia,Jagung,"Rp.8,000","Rp.9,000","Rp.8,500"
10,Medan Helvetia,Kedelai,"Rp.15,000","Rp.15,000","Rp.15,000"
11,Medan Helvetia,Minyak Goreng Kuning Curah,"Rp.20,500","Rp.21,000","Rp.20,750"
13,Medan Helvetia,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Helvetia,Telur Ras,"Rp.28,500","Rp.30,000","Rp.29,250"
1,Medan Johor,Bawang Merah,"Rp.45,000","Rp.48,000","Rp.46,500"
2,Medan Johor,Bawang Putih,"Rp.35,000","Rp.35,000","Rp.35,000"
3,Medan Johor,Beras,"Rp.15,000","Rp.17,000","Rp.16,000"
4,Medan Johor,Cabai Merah,"Rp.50,000","Rp.65,000","Rp.57,500"
5,Medan Johor,Cabai Rawit,"Rp.40,000","Rp.40,000","Rp.40,000"
6,Medan Johor,Daging Ayam Ras,"Rp.33,000","Rp.33,000","Rp.33,000"
7,Medan Johor,Daging Sapi,"Rp.140,000","Rp.150,000","Rp.145,000"
8,Medan Johor,Gula Pasir,"Rp.18,000","Rp.19,000","Rp.18,500"
9,Medan Johor,Jagung,"Rp.5,000","Rp.12,000","Rp.8,500"
10,Medan Johor,Kedelai,"Rp.16,000","Rp.16,000","Rp.16,000"
11,Medan Johor,Minyak Goreng Kuning Curah,"Rp.17,000","Rp.21,000","Rp.19,000"
12,Medan Johor,Telur Buras,"Rp.2,000","Rp.2,000","Rp.2,000"
13,Medan Johor,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Johor,Telur Ras,"Rp.27,000","Rp.30,000","Rp.28,500"
1,Medan Kota,Bawang Merah,"Rp.45,000","Rp.48,000","Rp.46,500"
2,Medan Kota,Bawang Putih,"Rp.35,000","Rp.38,000","Rp.36,500"
3,Medan Kota,Beras,"Rp.15,500","Rp.16,500","Rp.16,000"
4,Medan Kota,Cabai Merah,"Rp.40,000","Rp.67,000","Rp.53,500"
5,Medan Kota,Cabai Rawit,"Rp.35,000","Rp.46,000","Rp.40,500"
6,Medan Kota,Daging Ayam Ras,"Rp.34,000","Rp.36,000","Rp.35,000"
7,Medan Kota,Daging Sapi,"Rp.140,000","Rp.140,000","Rp.140,000"
8,Medan Kota,Gula Pasir,"Rp.17,000","Rp.19,000","Rp.18,000"
9,Medan Kota,Jagung,"Rp.6,000","Rp.12,000","Rp.9,000"
10,Medan Kota,Kedelai,"Rp.15,000","Rp.19,000","Rp.17,000"
11,Medan Kota,Minyak Goreng Kuning Curah,"Rp.21,000","Rp.21,000","Rp.21,000"
12,Medan Kota,Telur Buras,"Rp.2,000","Rp.2,000","Rp.2,000"
13,Medan Kota,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Kota,Telur Ras,"Rp.30,000","Rp.33,000","Rp.31,500"
1,Medan Marelan,Bawang Merah,"Rp.44,000","Rp.44,000","Rp.44,000"
2,Medan Marelan,Bawang Putih,"Rp.32,000","Rp.32,000","Rp.32,000"
3,Medan Marelan,Beras,"Rp.16,000","Rp.16,000","Rp.16,000"
4,Medan Marelan,Cabai Merah,"Rp.40,000","Rp.40,000","Rp.40,000"
5,Medan Marelan,Cabai Rawit,"Rp.40,000","Rp.40,000","Rp.40,000"
6,Medan Marelan,Daging Ayam Ras,"Rp.34,000","Rp.34,000","Rp.34,000"
7,Medan Marelan,Daging Sapi,"Rp.135,000","Rp.135,000","Rp.135,000"
8,Medan Marelan,Gula Pasir,"Rp.18,500","Rp.18,500","Rp.18,500"
9,Medan Marelan,Jagung,"Rp.10,000","Rp.10,000","Rp.10,000"
10,Medan Marelan,Kedelai,"Rp.13,000","Rp.13,000","Rp.13,000"
11,Medan Marelan,Minyak Goreng Kuning Curah,"Rp.20,000","Rp.20,000","Rp.20,000"
12,Medan Marelan,Telur Buras,"Rp.2,000","Rp.2,000","Rp.2,000"
13,Medan Marelan,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Marelan,Telur Ras,"Rp.30,000","Rp.30,000","Rp.30,000"
1,Medan Perjuangan,Bawang Merah,"Rp.30,000","Rp.36,000","Rp.33,000"
2,Medan Perjuangan,Bawang Putih,"Rp.25,000","Rp.32,000","Rp.28,500"
3,Medan Perjuangan,Beras,"Rp.16,000","Rp.17,500","Rp.16,750"
4,Medan Perjuangan,Cabai Merah,"Rp.30,000","Rp.35,000","Rp.32,500"
5,Medan Perjuangan,Cabai Rawit,"Rp.30,000","Rp.32,000","Rp.31,000"
6,Medan Perjuangan,Daging Ayam Ras,"Rp.36,000","Rp.40,000","Rp.38,000"
7,Medan Perjuangan,Daging Sapi,"Rp.150,000","Rp.150,000","Rp.150,000"
8,Medan Perjuangan,Gula Pasir,"Rp.19,000","Rp.19,000","Rp.19,000"
9,Medan Perjuangan,Jagung,"Rp.7,000","Rp.7,000","Rp.7,000"
10,Medan Perjuangan,Kedelai,"Rp.16,000","Rp.16,000","Rp.16,000"
11,Medan Perjuangan,Minyak Goreng Kuning Curah,"Rp.20,000","Rp.20,000","Rp.20,000"
13,Medan Perjuangan,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Perjuangan,Telur Ras,"Rp.27,000","Rp.30,000","Rp.28,500"
1,Medan Petisah,Bawang Merah,"Rp.42,000","Rp.42,000","Rp.42,000"
2,Medan Petisah,Bawang Putih,"Rp.30,000","Rp.30,000","Rp.30,000"
3,Medan Petisah,Beras,"Rp.16,000","Rp.16,000","Rp.16,000"
4,Medan Petisah,Cabai Merah,"Rp.40,000","Rp.40,000","Rp.40,000"
5,Medan Petisah,Cabai Rawit,"Rp.45,000","Rp.45,000","Rp.45,000"
6,Medan Petisah,Daging Ayam Ras,"Rp.33,000","Rp.33,000","Rp.33,000"
7,Medan Petisah,Daging Sapi,"Rp.140,000","Rp.140,000","Rp.140,000"
8,Medan Petisah,Gula Pasir,"Rp.19,000","Rp.19,000","Rp.19,000"
9,Medan Petisah,Jagung,"Rp.10,000","Rp.10,000","Rp.10,000"
10,Medan Petisah,Kedelai,"Rp.15,000","Rp.15,000","Rp.15,000"
11,Medan Petisah,Minyak Goreng Kuning Curah,"Rp.21,000","Rp.21,000","Rp.21,000"
12,Medan Petisah,Telur Buras,"Rp.2,000","Rp.2,000","Rp.2,000"
13,Medan Petisah,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Petisah,Telur Ras,"Rp.30,000","Rp.30,000","Rp.30,000"
1,Medan Selayang,Bawang Merah,"Rp.50,000","Rp.50,000","Rp.50,000"
2,Medan Selayang,Bawang Putih,"Rp.32,000","Rp.32,000","Rp.32,000"
3,Medan Selayang,Beras,"Rp.16,000","Rp.16,000","Rp.16,000"
4,Medan Selayang,Cabai Merah,"Rp.40,000","Rp.40,000","Rp.40,000"
5,Medan Selayang,Cabai Rawit,"Rp.50,000","Rp.50,000","Rp.50,000"
7,Medan Selayang,Daging Sapi,"Rp.140,000","Rp.140,000","Rp.140,000"
8,Medan Selayang,Gula Pasir,"Rp.18,000","Rp.18,000","Rp.18,000"
9,Medan Selayang,Jagung,"Rp.10,000","Rp.10,000","Rp.10,000"
11,Medan Selayang,Minyak Goreng Kuning Curah,"Rp.20,000","Rp.20,000","Rp.20,000"
13,Medan Selayang,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Selayang,Telur Ras,"Rp.30,000","Rp.30,000","Rp.30,000"
1,Medan Sunggal,Bawang Merah,"Rp.40,000","Rp.50,000","Rp.45,000"
2,Medan Sunggal,Bawang Putih,"Rp.30,000","Rp.35,000","Rp.32,500"
3,Medan Sunggal,Beras,"Rp.16,000","Rp.18,000","Rp.17,000"
4,Medan Sunggal,Cabai Merah,"Rp.43,000","Rp.50,000","Rp.46,500"
5,Medan Sunggal,Cabai Rawit,"Rp.48,000","Rp.50,000","Rp.49,000"
6,Medan Sunggal,Daging Ayam Ras,"Rp.32,000","Rp.35,000","Rp.33,500"
7,Medan Sunggal,Daging Sapi,"Rp.135,000","Rp.140,000","Rp.137,500"
8,Medan Sunggal,Gula Pasir,"Rp.18,000","Rp.19,000","Rp.18,500"
9,Medan Sunggal,Jagung,"Rp.7,000","Rp.10,000","Rp.8,500"
10,Medan Sunggal,Kedelai,"Rp.15,000","Rp.17,000","Rp.16,000"
11,Medan Sunggal,Minyak Goreng Kuning Curah,"Rp.19,000","Rp.21,000","Rp.20,000"
12,Medan Sunggal,Telur Buras,"Rp.2,000","Rp.2,000","Rp.2,000"
13,Medan Sunggal,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Sunggal,Telur Ras,"Rp.30,000","Rp.37,500","Rp.33,750"
1,Medan Tuntungan,Bawang Merah,"Rp.41,000","Rp.48,000","Rp.44,500"
2,Medan Tuntungan,Bawang Putih,"Rp.30,000","Rp.30,000","Rp.30,000"
3,Medan Tuntungan,Beras,"Rp.15,000","Rp.15,000","Rp.15,000"
4,Medan Tuntungan,Cabai Merah,"Rp.42,000","Rp.50,000","Rp.46,000"
5,Medan Tuntungan,Cabai Rawit,"Rp.45,000","Rp.45,000","Rp.45,000"
6,Medan Tuntungan,Daging Ayam Ras,"Rp.35,000","Rp.35,000","Rp.35,000"
7,Medan Tuntungan,Daging Sapi,"Rp.140,000","Rp.140,000","Rp.140,000"
8,Medan Tuntungan,Gula Pasir,"Rp.18,000","Rp.18,000","Rp.18,000"
9,Medan Tuntungan,Jagung,"Rp.10,000","Rp.10,000","Rp.10,000"
10,Medan Tuntungan,Kedelai,"Rp.16,000","Rp.16,000","Rp.16,000"
11,Medan Tuntungan,Minyak Goreng Kuning Curah,"Rp.21,000","Rp.21,000","Rp.21,000"
13,Medan Tuntungan,Telur Itik,"Rp.2,500","Rp.2,500","Rp.2,500"
14,Medan Tuntungan,Telur Ras,"Rp.30,000","Rp.30,000","Rp.30,000"
